,address,lat,lon
0,400 PARK AVENUE GREGORY SD,43.2305358,-99.4359305
1,1316 SOUTH MAIN STREET CLARION IA,42.7212687,-93.7335124
2,7785 NORTH STATE STREET LOWVILLE NY,43.7958676,-75.4991891
3,1100 HIGHWAY 16 EAST CARTHAGE MS,32.7968945,-89.356619
4,1501 SOUTH DIXIE STREET HORSE CAVE KY,37.1611636,-85.923028
5,3000 HOSPITAL DRIVE BATAVIA OH,39.0800696,-84.1445356
6,1 MEDICAL PLAZA PAMPA TX,35.5723948,-100.9640679
7,1200 E BROAD S RICHMOND VA,37.539429,-77.43054409999999
8,850 W BARAGA MARQUETTE MI,46.543763,-87.409801
9,3901 ARMORY ROAD WICHITA FALLS TX,33.8746756,-98.48462169999999
10,52579 HIGHWAY 51 SOUTH INDEPENDENCE LA,30.6219927,-90.4981778
11,137 BLOUNT AVENUE KNOXVILLE TN,35.955945,-83.915554
12,1859 VAN BUREN ST HOLLYWOOD FL,26.0098991,-80.1441667
13,252 SOUTH 4TH STREET LEBANON PA,40.33647089999999,-76.4164457
14,1600 ROCKLAND RD WILMINGTON DE,39.7786551,-75.55632729999999
15,119 OAKFIELD DR BRANDON FL,27.9335683,-82.28653539999999
16,323 SW 10TH ST MADISON SD,43.99126529999999,-97.1179363
17,25 N WINFIELD RD WINFIELD IL,41.873562,-88.1556693
18,300 EAST CROCKETT CLEVELAND TX,30.3419171,-95.0854968
19,40 WATCHUNG WAY BERKELEY HEIGHTS NJ,40.6655081,-74.4230446
20,16977 I-35 NORTH SCHERTZ TX,29.5942568,-98.28987409999999
21,770 TANGLEFOOT LANE BETTENDORF IA,41.56087429999999,-90.52075029999999
22,675 GOOD DRIVE LANCASTER PA,40.0622559,-76.35169909999999
23,FT LEWIS TACOMA WA,47.2528768,-122.4442906
24,100 EAST CARROLL AVENUE SALISBURY MD,38.36114480000001,-75.5994594
25,6640 KANIKSU ST BONNERS FERRY ID,48.7022651,-116.3208346
26,2106 EAST MAIN STREET MOUNTAIN VIEW AR,35.8566129,-92.08299129999999
27,6655 SOUTH YALE AVENUE TULSA OK,36.065896,-95.9180346
28,6200 OVERTON RIDGE BLVD FORT WORTH TX,32.6801767,-97.41913869999999
29,"2408 E. 81ST STREET, STE. 2800 TULSA OK",36.0432287,-95.95351889999999
30,125 NEWMAN STREET FAIRFIELD TX,31.72538999999999,-96.17067949999999
31,1316 E SEVENTH ST AUBURN IN,41.3688901,-85.03544409999999
32,4070 HWY 17 BYPASS MURRELLS INLET SC,33.5605114,-79.0428567
33,710 NORTH 11TH ST COLUMBUS MT,45.642814,-109.2419842
34,"46 FAIRVIEW AVE, PO BOX 468 SKOWHEGAN ME",44.7593498,-69.7135128
35,1120 MORNINGSIDE DR PERRY GA,32.4593871,-83.71026169999999
36,2800 E ROCK HAVEN ROAD HARRISONVILLE MO,38.6648796,-94.3773113
37,1009 W GREEN ST HASTINGS MI,42.6446796,-85.3027963
38,44 VERSAILLES BLVD ALEXANDRIA LA,31.2920477,-92.50499959999999
39,13855 E 14TH STREET SAN LEANDRO CA,37.712266,-122.1435578
40,440 SOUTH MARKET SPRINGFIELD MO,37.206009,-93.2954609
41,1200 ROBERTS AVE NE COOPERSTOWN ND,47.4461693,-98.1181196
42,"CARR 172, EXIT 21, URB TURABO GARDENS CAGUAS PR",18.1959174,-66.1248335
43,818 ELLICOTT STREET BUFFALO NY,42.9009147,-78.867779
44,"401 S BALLENGER, 5TH FLOOR FLINT MI",43.014301,-83.732699
45,455 TOLL GATE ROAD WARWICK RI,41.70579499999999,-71.4772784
46,3201 SOUTH WATER STREET BURNET TX,30.7330977,-98.23676479999999
47,310 SOUTH ROOSEVELT AVE GOLDENDALE WA,45.8199968,-120.8116696
48,4681 COLLEGE PARK DRIVE ROUND ROCK TX,30.5666051,-97.6575886
49,301 EAST 17TH STREET NEW YORK NY,40.7343534,-73.9829855
50,911 STACY BURK DRIVE FLORA IL,38.68096480000001,-88.4724251
51,10631 8TH AVENUE NE SEATTLE WA,47.7065345,-122.3215649
52,"18230 E SILVERCREEK ST, BUILDING 392, MDG SOUTH BUCKLEY AFB CO",39.7073226,-104.7741544
53,1067 PEACHTREE ST LOUISVILLE GA,33.0104736,-82.4055638
54,"600 RIVER AVENUE, 4 WEST LAKEWOOD NJ",40.0731927,-74.21875800000001
55,3600 WASHINGTON ST HOLLYWOOD FL,26.0021043,-80.17992149999999
56,720 SOUTH SIXTH ST MONTICELLO IN,40.7345768,-86.7778818
