,address,coordinates
0,"5360 Linton Blvd, Delray Beach, FL 33484, USA","26.4366253,-80.12847349"
1,"12221 N Mopac Expy, Austin, TX 78758, USA","30.41148803,-97.7062274"
2,"2001 Old West Chester Pike, Havertown, PA 19083, USA","39.97502538,-75.33442904"
3,"10 S Hospital Dr, Fulton, MO 65251, USA","38.84344424,-91.96589736"
4,"2005a Bustamante St, Laredo, TX 78041, USA","27.5338972,-99.47366602"
5,"1 Guthrie Sq, Sayre, PA 18840, USA","41.98023,-76.520727"
6,"1700 E 38th St, Marion, IN 46953, USA","40.5204615,-85.63826841"
7,"240 W 18th St, Horton, KS 66439, USA","39.67327422,-95.53049381"
8,"4330 Vance Jackson Rd, San Antonio, TX 78230, USA","29.51519837,-98.53269609"
9,"301-345 E Temple St, Los Angeles, CA 90012, USA","34.05201504,-118.2384205"
10,"117 Medical Cir, Athens, TX 75751, USA","32.1694447,-95.8462337"
11,"2051-B Hamill Rd, Hixson, TN 37343, USA","35.12468548,-85.23808028"
12,"Warren Memorial Hospital, Front Royal, VA 22630, USA","38.9303431,-78.19835145"
13,"2727 Lemmon Ave, Dallas, TX 75204, USA","32.80424638,-96.79495495"
14,"1455 St Francis Ave, Shakopee, MN 55379, USA","44.771263,-93.50289728"
15,"1500 Commonwealth Ave, Williamsburg, VA 23185, USA","37.25089548,-76.6683812"
16,"3100 N Tenaya Way, Las Vegas, NV 89128, USA","36.21585229,-115.249107"
17,"497 W Lott St, Buffalo, WY 82834, USA","44.35080469,-106.7064916"
18,"736 N Battlefield Blvd, Chesapeake, VA 23320, USA","36.74550925,-76.24603947"
19,"1520 Broad Ave, Gulfport, MS 39501, USA","30.36996901,-89.11611762"
20,"393 E Roosevelt Ave, Battle Creek, MI 49017, USA","42.33999956,-85.17519395"
21,"2312 S 6th St, Minneapolis, MN 55454, USA","44.96773393,-93.23807517"
22,"2850 TX-114, Trophy Club, TX 76262, USA","32.98851186,-97.17489987"
23,"459 Ave San Cristóbal, Coto Laurel, Ponce 00780, Puerto Rico","18.03967485,-66.54740673"
24,"2100 W Sunset Dr, Riverton, WY 82501, USA","43.03466095,-108.4187232"
25,"1019 S 8th St, Albion, NE 68620, USA","41.68304081,-98.00574016"
26,"2222 N Lincoln Ave, York, NE 68467, USA","40.8825718,-97.5921534"
27,"185 Grafton Rd, Townshend, VT 05353, USA","43.04880334,-72.66784746"
28,"1000 N Main St C, Richfield, UT 84701, USA","38.78270065,-112.0835825"
